video_id,video_name,bitrate,codec,fps,resolution,time,format,duration,file_size,file_path
n_15,1 little trick for solving conflict between staff in schools #schoolconflict [0SqTFlwAH3w].mp4,1197,h264,29.97002997002997,1080x1920,1760414086.487582,mp4,50.735601,7416,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\1 little trick for solving conflict between staff in schools #schoolconflict [0SqTFlwAH3w].mp4
n_16,"1 STABBED, 2 ARRESTED IN FIGHT & KEAN_S CAREER & INTERNSHIP FAIR 3 [rvZqJ3O6hrM].mp4",1284,h264,29.97002997002997,1080x1920,1760414084.402265,mp4,24.380952,3822,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\1 STABBED, 2 ARRESTED IN FIGHT & KEAN_S CAREER & INTERNSHIP FAIR 3 [rvZqJ3O6hrM].mp4"
n_17,13 November 2024 [B--EHM3bwVA].mp4,3134,h264,60.0,1080x1686,1760414089.9190164,mp4,10.07746,3855,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\13 November 2024 [B--EHM3bwVA].mp4
n_18,"14-year-old SHOOTS UP school, 4 DEAD, 9 INJURED, suspect CAUGHT #GeorgiaShooting [MqvsS-HFrMQ].mp4",1677,h264,30.0,720x1280,1760414085.2550702,mp4,40.449161,8281,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\14-year-old SHOOTS UP school, 4 DEAD, 9 INJURED, suspect CAUGHT #GeorgiaShooting [MqvsS-HFrMQ].mp4"
n_19,15-Year-Old Arrested After Deadly Stabbing at Sheffield School ｜ DRM News ｜ AB1B [J6hOn8ac6k4].mp4,2734,h264,30.0,1920x1080,1760414087.796921,mp4,84.033016,28049,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\15-Year-Old Arrested After Deadly Stabbing at Sheffield School ｜ DRM News ｜ AB1B [J6hOn8ac6k4].mp4
n_20,1vs3 Sugar HIIIIIIIIIGH 🩷🎀 #brawlstars #fup #бравлстарс #mandy #popular #brawl [CWmT15vSe4M].mp4,1727,av1,60.0,1080x1080,1760414088.2243078,mp4,37.453787,7898,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\1vs3 Sugar HIIIIIIIIIGH 🩷🎀 #brawlstars #fup #бравлстарс #mandy #popular #brawl [CWmT15vSe4M].mp4
n_21,1vs3 Sugar HIIIIIIIIIGH 🩷🎀 #fup #brawlstars #mandy #бравлстарс #brawl #popular [EoI2Ziyla98].mp4,1314,av1,60.0,1080x1080,1760414087.6790824,mp4,10.727619,1721,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\1vs3 Sugar HIIIIIIIIIGH 🩷🎀 #fup #brawlstars #mandy #бравлстарс #brawl #popular [EoI2Ziyla98].mp4
n_22,2 Attack on 1 Martial Art Boy fighting Short Film (#3TagFighting) [L5uKBdx55QA].mp4,1883,h264,30.0,1280x720,1760414089.0939927,mp4,35.108571,8072,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\2 Attack on 1 Martial Art Boy fighting Short Film (#3TagFighting) [L5uKBdx55QA].mp4
n_23,2023 Amazing Fight Video With Tutorial Step by Step 2025 Amazing Action Fight Video With Tutorial S [4mgudwe2-Pw].mp4,4757,h264,30.0,1920x1080,1760414087.9771988,mp4,99.056327,57524,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\2023 Amazing Fight Video With Tutorial Step by Step 2025 Amazing Action Fight Video With Tutorial S [4mgudwe2-Pw].mp4
n_24,2023 Amazing Fight Video ｜｜ Best Action Cinametic Fight Video 2023 ｜｜ Fight Video Kese Banaye [BcFZad1c4FE].mp4,4413,h264,30.0,1920x1080,1760414088.4424238,mp4,43.862494,23632,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\2023 Amazing Fight Video ｜｜ Best Action Cinametic Fight Video 2023 ｜｜ Fight Video Kese Banaye [BcFZad1c4FE].mp4
n_25,2025! Booooom BOXES 📦 FREE BOXES QR CODE 🥳 BRAWL STARS QR CODE 🤓 QR CODE BRAWL STARS ⭐ UPDATE [C14PpUXE-Vc].mp4,2701,h264,30.0,1920x1080,1760414086.9910693,mp4,65.828571,21712,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\2025! Booooom BOXES 📦 FREE BOXES QR CODE 🥳 BRAWL STARS QR CODE 🤓 QR CODE BRAWL STARS ⭐ UPDATE [C14PpUXE-Vc].mp4
n_26,"4 killed, 1 injured in Appalachia High School shooting (2024 UPDATE) #GeorgiaShooting [EXzSnUyka9o].mp4",1941,h264,30.0,720x1280,1760414087.816705,mp4,37.894966,8979,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\4 killed, 1 injured in Appalachia High School shooting (2024 UPDATE) #GeorgiaShooting [EXzSnUyka9o].mp4"
n_27,5v5 School Battle! Who Dominates the Side Building？#bgmi #short #youtubeshorts #pubg #shorts [oxribdOrA5I].mp4,5894,h264,60.0,1080x1920,1760414087.014299,mp4,30.046621,21621,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\5v5 School Battle! Who Dominates the Side Building？#bgmi #short #youtubeshorts #pubg #shorts [oxribdOrA5I].mp4
n_28,5yearsofpremam😎❤🤘 [b5z5JT_TiG0].mp4,4375,h264,25.0,1906x1080,1760414088.98097,mp4,60.511202,32318,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\5yearsofpremam😎❤🤘 [b5z5JT_TiG0].mp4
n_29,5_2＂ Teacher_s Secret Weapon： Chihuahua Energy in the Classroom! [E53efDBZbbk].mp4,2144,h264,30.0,1080x1920,1760414087.7547956,mp4,42.120998,11025,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\5_2＂ Teacher_s Secret Weapon： Chihuahua Energy in the Classroom! [E53efDBZbbk].mp4
n_30,A big fight b⧸w student & teacher went viral. #fight #foryou #viral #shorts [vIwhgwfyeQk].mp4,1862,h264,60.0,720x1280,1760414088.4688325,mp4,44.280454,10067,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\A big fight b⧸w student & teacher went viral. #fight #foryou #viral #shorts [vIwhgwfyeQk].mp4
n_31,ABS CONDITIONING 🥶 [_C9K4PtwK5k].mp4,1908,h264,30.0,720x1280,1760414086.397461,mp4,10.727619,2498,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\ABS CONDITIONING 🥶 [_C9K4PtwK5k].mp4
n_32,Abyss Circuit - 2025 - Ruins of Flesh and Steel - Chaotic Noisegrind - Industrial Cybergrind [QBLA1BBUBm4].mp4,4629,h264,30.0,1920x1080,1760414088.797117,mp4,66.71093,37697,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Abyss Circuit - 2025 - Ruins of Flesh and Steel - Chaotic Noisegrind - Industrial Cybergrind [QBLA1BBUBm4].mp4
n_33,ACTION FIGHT VIDEO। NEW FIGHTING VIDEO 2025। TETULIA FUNNY TEAM [mBdLrRpy4vM].mp4,4446,h264,30.0,1920x1080,1760414089.952225,mp4,57.724807,31333,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\ACTION FIGHT VIDEO। NEW FIGHTING VIDEO 2025। TETULIA FUNNY TEAM [mBdLrRpy4vM].mp4
n_34,Afghanistan fans crying after loosing the match against Pakistan #pakistanvsafghanistan #asiacup [QAtElOvUFCk].mp4,1551,h264,30.0,1280x720,1760414086.2627006,mp4,45.603991,8639,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Afghanistan fans crying after loosing the match against Pakistan #pakistanvsafghanistan #asiacup [QAtElOvUFCk].mp4
n_35,AHN SUHO THE ULTIMATOR ｜｜ SUHO AURA MOMENT ｜｜ #weakheroclass1 [XbYZ0SuBrds].mp4,7422,av1,60.0,2160x2160,1760414085.2180488,mp4,16.973787,15379,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\AHN SUHO THE ULTIMATOR ｜｜ SUHO AURA MOMENT ｜｜ #weakheroclass1 [XbYZ0SuBrds].mp4
n_36,AI-Generated Street Fight？ You Won’t Believe This Looks Real!＂ [0l5WzuFB-zs].mp4,1470,h264,30.0,1280x720,1760414085.1439018,mp4,5.688889,1021,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\AI-Generated Street Fight？ You Won’t Believe This Looks Real!＂ [0l5WzuFB-zs].mp4
n_37,"Akala Explains Youth Violence to Piers Morgan ｜ Poverty, Not Race #Akala #PiersMorgan [OPYZ9OS0RXU].mp4",949,av1,29.955,1080x1920,1760414087.040124,mp4,49.969342,5790,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Akala Explains Youth Violence to Piers Morgan ｜ Poverty, Not Race #Akala #PiersMorgan [OPYZ9OS0RXU].mp4"
n_38,Alex Pereira ALMOST FIGHTS Jiri Prochazka in Public! (SHOCKING Moment) [faswefIUEjI].mp4,2712,h264,30.0,1080x1920,1760414087.3751526,mp4,14.953651,4951,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Alex Pereira ALMOST FIGHTS Jiri Prochazka in Public! (SHOCKING Moment) [faswefIUEjI].mp4
n_39,ANDREW GARFIELD’S SPIDEY FOUGHT LIZARD IN AN EPIC SCHOOL BATTLE! #SpiderMan #Lizard #SchoolBattle [XerQiFzWMK4].mp4,2510,h264,30.0,1080x1920,1760414085.2294357,mp4,58.560726,17947,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\ANDREW GARFIELD’S SPIDEY FOUGHT LIZARD IN AN EPIC SCHOOL BATTLE! #SpiderMan #Lizard #SchoolBattle [XerQiFzWMK4].mp4
n_40,Andrew Tate NOT in Talks for Misfits Boxing Event ｜ Truth Behind the Rumors [qg8fUISwDz4].mp4,389,h264,12.0,640x360,1760414088.1962595,mp4,96.966531,4608,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Andrew Tate NOT in Talks for Misfits Boxing Event ｜ Truth Behind the Rumors [qg8fUISwDz4].mp4
n_41,Animating funny haha #wip #animatic #fyp #fighttrend [kbh23V0WaLw].mp4,2639,h264,29.942196531791907,1080x1920,1760414084.775962,mp4,17.368526,5595,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Animating funny haha #wip #animatic #fyp #fighttrend [kbh23V0WaLw].mp4
n_42,Ankalaev Bocorkan Duel Ulang Lawan Pereira! #ufcfighter #ufc [zUgHERueYZE].mp4,324,av1,23.943,720x1280,1760414087.312119,mp4,19.736961,782,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Ankalaev Bocorkan Duel Ulang Lawan Pereira! #ufcfighter #ufc [zUgHERueYZE].mp4
n_43,Anthony Joshua vs. Francis Ngannou ｜ Fight Highlights    #boxing #action #combat #sports #fight [O4o3l-vwoZg].mp4,4253,h264,50.0,1080x1920,1760414089.881166,mp4,50.503401,26223,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Anthony Joshua vs. Francis Ngannou ｜ Fight Highlights    #boxing #action #combat #sports #fight [O4o3l-vwoZg].mp4
n_44,Anya ultra instinct 🔥｜Spy x family Edit｜ Montagem bandido (super slowed) ｜ #spyxfamily #anime #anya [vaMftvOM3qw].mp4,12956,av1,60.0,2160x3840,1760414087.4745364,mp4,19.829841,31363,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Anya ultra instinct 🔥｜Spy x family Edit｜ Montagem bandido (super slowed) ｜ #spyxfamily #anime #anya [vaMftvOM3qw].mp4
n_45,Are We Normalizing Violence Among Our Youth？ [oosf0ZABpFA].mp4,1641,av1,24.0,1080x1920,1760414089.4770355,mp4,14.303492,2866,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Are We Normalizing Violence Among Our Youth？ [oosf0ZABpFA].mp4
n_46,Arm Wrestling #Shorts #shortvideo #Reels #Fight #RawFight [gAIxpYKD5bo].mp4,2147,h264,25.0,720x1280,1760414089.7462516,mp4,12.167256,3189,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Arm Wrestling #Shorts #shortvideo #Reels #Fight #RawFight [gAIxpYKD5bo].mp4
n_47,Arm Wrestling Championship #Schoolboywrestling #Punjacompetition #collegefight #hostelfight [BC7dC178mUU].mp4,817,h264,30.0,640x480,1760414086.9490654,mp4,82.616599,8246,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Arm Wrestling Championship #Schoolboywrestling #Punjacompetition #collegefight #hostelfight [BC7dC178mUU].mp4
n_48,Armed Thugs Mess With Steven Seagal #stevenseagal #hardtokill #fightscene [vupR9yzBMec].mp4,1551,av1,60.0,1080x1920,1760414086.8598957,mp4,20.897959,3958,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Armed Thugs Mess With Steven Seagal #stevenseagal #hardtokill #fightscene [vupR9yzBMec].mp4
n_49,Asta vs wizard king ki fight moment 🔥#asta #blackclover #wizardking#shorts#viralshorts#animeshorts [iB1fI-L69pg].mp4,2233,h264,14.245709501883631,720x1280,1760414087.3556209,mp4,16.695147,4552,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Asta vs wizard king ki fight moment 🔥#asta #blackclover #wizardking#shorts#viralshorts#animeshorts [iB1fI-L69pg].mp4
n_50,Aura +9999😱😳100_ Deadly Fight #shorts [QxHaAslhOEY].mp4,1103,av1,30.0,720x1280,1760414089.0702696,mp4,13.862313,1867,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Aura +9999😱😳100_ Deadly Fight #shorts [QxHaAslhOEY].mp4
n_51,Australians Turn Themselves In After Pattaya Brawl [yRvYCQSp-Go].mp4,679,av1,25.0,1080x1920,1760414088.1373212,mp4,32.322177,2680,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Australians Turn Themselves In After Pattaya Brawl [yRvYCQSp-Go].mp4
n_52,avarage school fight be like： [rHRlZSTW10U].mp4,2537,h264,30.0,1080x1350,1760414088.0553677,mp4,11.586757,3589,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\avarage school fight be like： [rHRlZSTW10U].mp4
n_53,Average Joe vs Pro Boxer  You Won_t Believe the Outcome!  #fight #karma #ko [FkhH_PuOdo0].mp4,3350,h264,30.0,1080x1920,1760414084.5415604,mp4,14.233832,5821,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Average Joe vs Pro Boxer  You Won_t Believe the Outcome!  #fight #karma #ko [FkhH_PuOdo0].mp4
n_54,best story of children #youtubeshorts [ZY7VXApi6h8].mp4,707,h264,30.0,854x480,1760414089.473798,mp4,56.47093,4880,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\best story of children #youtubeshorts [ZY7VXApi6h8].mp4
n_55,Best Street Fight Advice Ever. [fiZxE280AhI].mp4,1161,av1,60.0,1080x1080,1760414086.133044,mp4,36.01415,5106,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Best Street Fight Advice Ever. [fiZxE280AhI].mp4
n_56,BEST TYPE OF PEOPLE IN A SCHOOL FIGHT 🏫 [dr4bUs_iULk].mp4,3019,h264,29.909365558912388,1080x1920,1760414086.031289,mp4,11.099138,4091,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\BEST TYPE OF PEOPLE IN A SCHOOL FIGHT 🏫 [dr4bUs_iULk].mp4
n_57,Bhojpuri  action Video ｜ Fight Scene ｜ Best Fight Video 2020 ｜ Action Video ｜  Fight Video [5oDKog8mcc0].mp4,3365,h264,29.97002997002997,1920x1080,1760414084.4602163,mp4,80.828662,33201,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bhojpuri  action Video ｜ Fight Scene ｜ Best Fight Video 2020 ｜ Action Video ｜  Fight Video [5oDKog8mcc0].mp4
n_58,Boyka fights like it’s personal ☠️ [OXQT9x8BNhI].mp4,8510,av1,60.0,2160x2400,1760414087.1889338,mp4,26.168889,27187,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Boyka fights like it’s personal ☠️ [OXQT9x8BNhI].mp4
n_59,Bradley Martyn Wants to Fight Islam Makhachev in a Street Fight 😳💥 #ufcnews #mmanews #espnmma [DtVoq8IPTsg].mp4,7154,av1,30.0,2160x3840,1760414088.032154,mp4,17.507846,15290,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bradley Martyn Wants to Fight Islam Makhachev in a Street Fight 😳💥 #ufcnews #mmanews #espnmma [DtVoq8IPTsg].mp4
n_60,Brawl stars #el primo #brawls stars #ac #vr #wooster games [pbn_2w0442s].mp4,1295,av1,30.0,1080x1080,1760414085.5280566,mp4,7.662585,1211,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Brawl stars #el primo #brawls stars #ac #vr #wooster games [pbn_2w0442s].mp4
n_61,Brawl Stars Free Starr Drop ｜ #brawls #youtubeshorts #shorts [0HWK0dIqqhU].mp4,709,av1,30.0,720x1280,1760414089.431308,mp4,32.600816,2824,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Brawl Stars Free Starr Drop ｜ #brawls #youtubeshorts #shorts [0HWK0dIqqhU].mp4
n_62,Brawl Stars OST ｜ Season 38 ｜ Jae-Yong ｜ Menu Music 2 [x9irYaXAsYc].mp4,373,h264,29.97002997002997,1200x720,1760414089.9975874,mp4,60.162902,2745,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Brawl Stars OST ｜ Season 38 ｜ Jae-Yong ｜ Menu Music 2 [x9irYaXAsYc].mp4
n_63,brawls stars #brawls stars     game players😍🥰🥰 [eexjkc6zv2M].mp4,2261,h264,25.0,720x1280,1760414086.7628105,mp4,26.261769,7251,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\brawls stars #brawls stars     game players😍🥰🥰 [eexjkc6zv2M].mp4
n_64,"Breaking News ： सीतामऊ के पैरामाउंट स्कूल में छात्रों की गैंगवार 3 घायल, 1 पर चाकू हमला ｜ [dOTVN17EbFs].mp4",3804,h264,25.0,1920x1080,1760414088.6661692,mp4,57.330068,26622,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Breaking News ： सीतामऊ के पैरामाउंट स्कूल में छात्रों की गैंगवार 3 घायल, 1 पर चाकू हमला ｜ [dOTVN17EbFs].mp4"
n_65,"Breaking News ： हमीरपुर में वायरल फोटो का हंगामा, छात्र ने साथी पर किया चाकू से हमला ｜｜ [3M1WYGn9KTI].mp4",3936,h264,25.0,1920x1080,1760414084.5824716,mp4,83.963356,40349,"D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Breaking News ： हमीरपुर में वायरल फोटो का हंगामा, छात्र ने साथी पर किया चाकू से हमला ｜｜ [3M1WYGn9KTI].mp4"
n_66,Breaking News： Dramatic Attacks at UCLA Campus Revealed! [4RGV40o_LM8].mp4,1519,h264,24.05038167938931,1080x1920,1760414087.949659,mp4,20.22458,3751,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Breaking News： Dramatic Attacks at UCLA Campus Revealed! [4RGV40o_LM8].mp4
n_67,BREAKING NEWS： छात्रों के बीच मारपीट का वीडियो वायरल ｜ [gf3SWFLOxwk].mp4,1998,h264,25.0,1920x1080,1760414085.4220824,mp4,68.289887,16656,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\BREAKING NEWS： छात्रों के बीच मारपीट का वीडियो वायरल ｜ [gf3SWFLOxwk].mp4
n_68,Bro finally stood up for himself ☠️☠️  #wwe #gaming #roblox #fightinschool #viralshorts [qXwTq7-Y6wo].mp4,1473,h264,30.0,576x1024,1760414086.0601704,mp4,15.998549,2877,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bro finally stood up for himself ☠️☠️  #wwe #gaming #roblox #fightinschool #viralshorts [qXwTq7-Y6wo].mp4
n_69,Bro got precise aim #trending #funny #fyp #viral #viralvideo #roblox #fightinschool [t8E-oN4v5ok].mp4,2501,h264,59.23317683881064,886x1920,1760414086.4980175,mp4,12.840635,3921,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bro got precise aim #trending #funny #fyp #viral #viralvideo #roblox #fightinschool [t8E-oN4v5ok].mp4
n_70,Brock Sweeps？？？ Brawl Stars #brawlstars #brawl #supercell #brawlstarsmemes #brawlstarsgame #brawls [hNgU0LacIFE].mp4,4385,h264,60.0,1080x1920,1760414087.699653,mp4,38.638005,20686,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Brock Sweeps？？？ Brawl Stars #brawlstars #brawl #supercell #brawlstarsmemes #brawlstarsgame #brawls [hNgU0LacIFE].mp4
n_71,Bruce Lee Real Fight Demo ｜ Rare Footage [52LFfwwQaL0].mp4,538,h264,30.0,852x480,1760414086.137187,mp4,62.020499,4077,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bruce Lee Real Fight Demo ｜ Rare Footage [52LFfwwQaL0].mp4
n_72,Bruce Lee vs Ip Man ｜ Donnie Yen & Danny Chan Martial Arts Showdown [DCKPf-NAhsU].mp4,378,av1,24.0,720x1280,1760414087.3100882,mp4,13.049615,603,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bruce Lee vs Ip Man ｜ Donnie Yen & Danny Chan Martial Arts Showdown [DCKPf-NAhsU].mp4
n_73,Brutal Survival Battle： Alpha Gorilla vs King Cobra in the Amazon Jungle #AmazonJungle #KingCobra [6moXoIfSUCQ].mp4,1282,av1,30.0,1080x1920,1760414086.6407945,mp4,40.007982,6261,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Brutal Survival Battle： Alpha Gorilla vs King Cobra in the Amazon Jungle #AmazonJungle #KingCobra [6moXoIfSUCQ].mp4
n_74,Bta all day #mafteeski #fightinschool [G1N9LuIluLM].mp4,3240,av1,59.94005994005994,1080x1920,1760414089.8392887,mp4,14.396372,5694,D:\ady201m\data_understand_and_preprocessing\preprocessing\dataset\non_violence\Bta all day #mafteeski #fightinschool [G1N9LuIluLM].mp4
